capacity,traffic,retry_attempt,retry_interval,cb,enforcement_point,start,end
33,1.2,2,1ms,5,3,1678062451819,1678062751817
33,1.2,2,1ms,10,3,1678062767080,1678063067075
33,1.2,2,1ms,20,3,1678063082336,1678063382334
33,1.2,2,1ms,50,3,1678063397629,1678063697623
33,1.2,2,1ms,500,3,1678063712908,1678064012911
33,1.2,2,1ms,1000,3,1678064028203,1678064328203
33,1.2,2,5ms,1,3,1678064343725,1678064643725
33,1.2,2,5ms,5,3,1678064659009,1678064959009
33,1.2,2,5ms,10,3,1678064974285,1678065274284
33,1.2,2,5ms,20,3,1678065289558,1678065589553
33,1.2,2,5ms,50,3,1678065605178,1678065905181
33,1.2,2,5ms,500,3,1678065920753,1678066220756
33,1.2,2,5ms,1000,3,1678066236032,1678066536031
33,1.2,2,10ms,1,3,1678066551535,1678066851536
33,1.2,2,10ms,5,3,1678066866809,1678067166811
33,1.2,2,10ms,10,3,1678067182093,1678067482086
33,1.2,2,10ms,20,3,1678067497382,1678067797385
33,1.2,2,10ms,50,3,1678067812652,1678068112683
33,1.2,2,10ms,500,3,1678068127952,1678068427957
33,1.2,2,10ms,1000,3,1678068443232,1678068743237
33,1.2,2,50ms,1,3,1678068758769,1678069058774
33,1.2,2,50ms,5,3,1678069074072,1678069374085
33,1.2,2,50ms,10,3,1678069389381,1678069689385
33,1.2,2,50ms,20,3,1678069704660,1678070004663
33,1.2,2,50ms,50,3,1678070019933,1678070319932
33,1.2,2,50ms,500,3,1678070335206,1678070635202
33,1.2,2,50ms,1000,3,1678070650481,1678070950487
33,1.2,2,100ms,1,3,1678070965996,1678071266001
33,1.2,2,100ms,5,3,1678071281291,1678071581290
33,1.2,2,100ms,10,3,1678071596565,1678071896568
33,1.2,2,100ms,20,3,1678071911859,1678072211856
33,1.2,2,100ms,50,3,1678072227135,1678072527136
33,1.2,2,100ms,500,3,1678072542446,1678072842466
33,1.2,2,100ms,1000,3,1678072857735,1678073157732
33,1.2,5,1ms,1,3,1678073173263,1678073473266
33,1.2,5,1ms,5,3,1678073488540,1678073788544
33,1.2,5,1ms,10,3,1678073803812,1678074103765
33,1.2,5,1ms,20,3,1678074119040,1678074419034
33,1.2,5,1ms,50,3,1678074434313,1678074734314
33,1.2,5,1ms,500,3,1678074749590,1678075049593
33,1.2,5,1ms,1000,3,1678075064888,1678075364912
33,1.2,5,5ms,1,3,1678075380420,1678075680422
33,1.2,5,5ms,5,3,1678075695697,1678075995698
33,1.2,5,5ms,10,3,1678076010949,1678076310954
33,1.2,5,5ms,20,3,1678076326250,1678076626266
33,1.2,5,5ms,50,3,1678076641529,1678076941533
33,1.2,5,5ms,500,3,1678076956816,1678077256821
33,1.2,5,5ms,1000,3,1678077272095,1678077572087
33,1.2,5,10ms,1,3,1678077587586,1678077887589
33,1.2,5,10ms,5,3,1678077902865,1678078202869
33,1.2,5,10ms,10,3,1678078218134,1678078518131
33,1.2,5,10ms,20,3,1678078533417,1678078833428
33,1.2,5,10ms,50,3,1678078848682,1678079148686
33,1.2,5,10ms,500,3,1678079163962,1678079463959
33,1.2,5,10ms,1000,3,1678079479229,1678079779233
33,1.2,5,50ms,1,3,1678079794760,1678080094718
33,1.2,5,50ms,5,3,1678080109962,1678080409963
33,1.2,5,50ms,10,3,1678080425250,1678080725246
33,1.2,5,50ms,20,3,1678080740525,1678081040521
33,1.2,5,50ms,50,3,1678081055789,1678081355797
33,1.2,5,50ms,500,3,1678081371063,1678081671064
33,1.2,5,50ms,1000,3,1678081686328,1678081986329
33,1.2,5,100ms,1,3,1678082001858,1678082301859
33,1.2,5,100ms,5,3,1678082317147,1678082617155
33,1.2,5,100ms,10,3,1678082632440,1678082932442
33,1.2,5,100ms,20,3,1678082947720,1678083247722
33,1.2,5,100ms,50,3,1678083262994,1678083562996
33,1.2,5,100ms,500,3,1678083578276,1678083878282
33,1.2,5,100ms,1000,3,1678083893551,1678084193555
33,1.2,10,1ms,1,3,1678084209059,1678084509063
33,1.2,10,1ms,5,3,1678084524347,1678084824361
33,1.2,10,1ms,10,3,1678084839639,1678085139642
33,1.2,10,1ms,20,3,1678085154935,1678085454938
33,1.2,10,1ms,50,3,1678085470194,1678085770194
33,1.2,10,1ms,500,3,1678085785446,1678086085422
33,1.2,10,1ms,1000,3,1678086100684,1678086400678
33,1.2,10,5ms,1,3,1678086416126,1678086716124
33,1.2,10,5ms,5,3,1678086731374,1678087031372
33,1.2,10,5ms,10,3,1678087046638,1678087346619
33,1.2,10,5ms,20,3,1678087361874,1678087661871
33,1.2,10,5ms,50,3,1678087677153,1678087977150
33,1.2,10,5ms,500,3,1678087992404,1678088292401
33,1.2,10,5ms,1000,3,1678088307673,1678088607691
33,1.2,10,10ms,1,3,1678088623199,1678088923197
33,1.2,10,10ms,5,3,1678088938458,1678089238455
33,1.2,10,10ms,10,3,1678089253724,1678089553723
33,1.2,10,10ms,20,3,1678089568993,1678089869002
33,1.2,10,10ms,50,3,1678089884258,1678090184257
33,1.2,10,10ms,500,3,1678090199481,1678090499481
33,1.2,10,10ms,1000,3,1678090514745,1678090814724
33,1.2,10,50ms,1,3,1678090830238,1678091130234
33,1.2,10,50ms,5,3,1678091145499,1678091445497
33,1.2,10,50ms,10,3,1678091460760,1678091760754
33,1.2,10,50ms,20,3,1678091776020,1678092075986
33,1.2,10,50ms,50,3,1678092091269,1678092391265
33,1.2,10,50ms,500,3,1678092406525,1678092706521
33,1.2,10,50ms,1000,3,1678092721803,1678093021799
33,1.2,10,100ms,1,3,1678093037294,1678093337297
33,1.2,10,100ms,5,3,1678093352557,1678093652550
33,1.2,10,100ms,10,3,1678093667823,1678093967820
33,1.2,10,100ms,20,3,1678093983073,1678094283069
33,1.2,10,100ms,50,3,1678094298349,1678094598334
33,1.2,10,100ms,500,3,1678094613578,1678094913569
33,1.2,10,100ms,1000,3,1678094928828,1678095228822
33,1.2,20,1ms,1,3,1678095244353,1678095544348
