traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
70,1,50,50,2,50ms,1678521191154,1678521251160
70,1,50,50,5,1ms,1678521251411,1678521311417
70,1,50,50,5,25ms,1678521311667,1678521371670
70,1,50,50,5,50ms,1678521371929,1678521431931
70,1,50,1000,1,1ms,1678521432432,1678521492419
70,1,50,1000,1,25ms,1678521492673,1678521552670
70,1,50,1000,1,50ms,1678521552919,1678521612925
70,1,50,1000,2,1ms,1678521613194,1678521673199
70,1,50,1000,2,25ms,1678521673452,1678521733457
70,1,50,1000,2,50ms,1678521733698,1678521793700
70,1,50,1000,5,1ms,1678521793934,1678521853942
70,1,50,1000,5,25ms,1678521854196,1678521914198
70,1,50,1000,5,50ms,1678521914462,1678521974465
70,1,1000,1,1,1ms,1678521975194,1678522035202
70,1,1000,1,1,25ms,1678522035455,1678522095462
70,1,1000,1,1,50ms,1678522095725,1678522155726
70,1,1000,1,2,1ms,1678522155992,1678522216000
70,1,1000,1,2,25ms,1678522216261,1678522276260
70,1,1000,1,2,50ms,1678522276517,1678522336523
70,1,1000,1,5,1ms,1678522336782,1678522396784
70,1,1000,1,5,25ms,1678522397043,1678522457049
70,1,1000,1,5,50ms,1678522457322,1678522517327
70,1,1000,50,1,1ms,1678522517821,1678522577823
70,1,1000,50,1,25ms,1678522578078,1678522638082
70,1,1000,50,1,50ms,1678522638333,1678522698327
70,1,1000,50,2,1ms,1678522698575,1678522758580
70,1,1000,50,2,25ms,1678522758828,1678522818827
70,1,1000,50,2,50ms,1678522819070,1678522879074
70,1,1000,50,5,1ms,1678522879331,1678522939339
70,1,1000,50,5,25ms,1678522939584,1678522999589
70,1,1000,50,5,50ms,1678522999848,1678523059849
70,1,1000,1000,1,1ms,1678523060343,1678523120348
70,1,1000,1000,1,25ms,1678523120602,1678523180606
70,1,1000,1000,1,50ms,1678523180871,1678523240879
70,1,1000,1000,2,1ms,1678523241143,1678523301142
70,1,1000,1000,2,25ms,1678523301396,1678523361404
70,1,1000,1000,2,50ms,1678523361661,1678523421663
70,1,1000,1000,5,1ms,1678523421917,1678523481922
70,1,1000,1000,5,25ms,1678523482171,1678523542174
70,1,1000,1000,5,50ms,1678523542450,1678523602449
70,50,1,1,1,1ms,1678523603421,1678523663425
70,50,1,1,1,25ms,1678523663686,1678523723691
70,50,1,1,1,50ms,1678523723929,1678523783938
70,50,1,1,2,1ms,1678523784202,1678523844203
70,50,1,1,2,25ms,1678523844460,1678523904453
70,50,1,1,2,50ms,1678523904707,1678523964713
70,50,1,1,5,1ms,1678523964971,1678524024971
70,50,1,1,5,25ms,1678524025236,1678524085244
70,50,1,1,5,50ms,1678524085490,1678524145493
70,50,1,50,1,1ms,1678524145984,1678524205983
70,50,1,50,1,25ms,1678524206239,1678524266248
70,50,1,50,1,50ms,1678524266502,1678524326505
70,50,1,50,2,1ms,1678524326772,1678524386773
70,50,1,50,2,25ms,1678524387046,1678524447054
70,50,1,50,2,50ms,1678524447305,1678524507313
70,50,1,50,5,1ms,1678524507580,1678524567580
70,50,1,50,5,25ms,1678524567831,1678524627834
70,50,1,50,5,50ms,1678524628099,1678524688105
70,50,1,1000,1,1ms,1678524688593,1678524748600
70,50,1,1000,1,25ms,1678524748838,1678524808838
70,50,1,1000,1,50ms,1678524809082,1678524869084
70,50,1,1000,2,1ms,1678524869360,1678524929362
70,50,1,1000,2,25ms,1678524929626,1678524989626
70,50,1,1000,2,50ms,1678524989927,1678525049926
70,50,1,1000,5,1ms,1678525050178,1678525110187
70,50,1,1000,5,25ms,1678525110426,1678525170424
70,50,1,1000,5,50ms,1678525170669,1678525230677
70,50,50,1,1,1ms,1678525231403,1678525291407
70,50,50,1,1,25ms,1678525291669,1678525351672
70,50,50,1,1,50ms,1678525351912,1678525411912
70,50,50,1,2,1ms,1678525412161,1678525472167
