traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
19,1,0.005,1,106.6,1.0,2.2,0.008134615384615395,16.8,4.4,0,0.05062499999999998
19,1,0.005,1,99.2,1.6,2.6,0.004988582677165354,15.0,3.6,0,0.07437499999999996
19,1,0.005,1,96.4,0.6000000000000001,2.8,0.007362499999999965,16.8,4.2,0,0.05249999999999995
19,1,0.005,5,92.2,1.2,0.0,0.004970556552962297,14.8,1.6,0,0.09625
19,1,0.005,5,100.4,0.8,0.0,0.00496409090909091,15.4,1.0,0,0.04908163265306122
19,1,0.005,5,98.4,3.6,0.0,0.004880338266384779,14.6,2.8,0,0.08611111111111105
19,1,0.005,5,99.0,0.2,0.0,0.00983333333333333,15.4,0.2,0,0.04949152542372882
19,1,0.005,5,86.6,2.2,0.0,0.004926666666666666,15.8,2.2,0,0.04961538461538461
19,1,0.005,5,116.2,1.4,0.0,0.006045454545454555,21.0,1.6,0,0.049272151898734164
19,1,0.005,5,101.0,1.8,0.0,0.0049475728155339805,14.8,1.5999999999999999,0,0.07124999999999997
19,1,0.005,5,111.2,0.6000000000000001,0.0,0.0049125284738040995,18.4,0.8,0,0.04923828125
19,1,0.005,5,105.4,2.2,0.0,0.0048795811518324616,18.0,2.2,0,0.05649999999999995
19,1,0.005,5,109.0,0.2,0.0,0.0049868852459016375,16.6,0.0,0,0.04827380952380952
19,1,0.005,5,103.8,3.4000000000000004,0.0,0.00490356394129979,16.8,3.4,0,0.051874999999999956
19,1,0.005,5,110.2,0.6000000000000001,0.0,0.01154687500000005,18.6,0.6,0,0.07916666666666668
19,1,0.005,5,101.8,2.5999999999999996,0.0,0.004966423357664234,15.6,3.2,0,0.08071428571428575
19,1,0.005,5,100.4,0.6000000000000001,0.0,0.008874999999999886,17.2,0.0,0,0.04844202898550725
19,1,0.005,5,101.0,4.0,0.0,0.004814872798434441,16.2,4.4,0,0.07312500000000008
19,1,0.005,5,117.0,0.4,0.0,0.008274999999999935,19.4,0.0,0,0.0504999999999999
19,1,0.005,5,111.0,2.8000000000000003,0.0,0.004897080291970803,17.2,2.8000000000000003,0,0.07954545454545449
19,1,0.005,5,118.6,0.0,0.0,0.006750000000000009,22.6,0.0,0,0.048840579710144924
19,1,0.005,5,109.8,3.8,0.0,0.0048778916544655925,15.4,4.0,0,0.07468749999999998
19,1,0.005,5,117.4,1.4,0.0,0.014437499999999976,18.6,1.2,0,0.049420289855072456
19,1,0.005,5,91.2,2.0,0.0,0.004928698752228163,16.0,2.2,0,0.04968181818181818
19,1,0.005,5,119.8,0.8,0.0,0.0049635245901639355,18.0,1.2,0,0.06321428571428572
19,1,0.005,5,102.8,3.2,0.0,0.004923243243243244,17.8,3.5999999999999996,0,0.0654166666666667
19,1,0.005,5,123.2,2.2,0.0,0.008725000000000031,19.6,1.7999999999999998,0,0.05458333333333332
19,1,0.005,5,101.4,3.8,0.0,0.004983361064891847,16.2,3.2,0,0.04984375
19,1,0.005,10,117.8,0.4,0.0,0.0049528735632183895,18.0,1.0,0,0.06906249999999997
19,1,0.005,10,104.0,2.4000000000000004,0.0,0.006450000000000048,16.6,4.2,0,0.04911363636363636
19,1,0.005,10,113.0,2.6,0.0,0.011392857142857172,17.8,0.4,0,0.04879629629629629
19,1,0.005,10,112.4,1.8,0.0,0.004880851063829787,17.8,1.6,0,0.08111111111111112
